TIME,x,y,CRS
26.25,-74.7052602223,-130.056952083,-108.285117233
26.5,-72.0938383109,-131.003802113,-114.724408354
26.75,-69.389691441,-131.639128081,-112.816400429
27.0,-66.7092072928,-132.367862678,-120.264233699
27.25,-63.9548815943,-132.728056136,-118.431163964
27.5,-61.2140879951,-133.179830226,-126.594905802
27.75,-58.4366199131,-133.221308339,-124.695517073
28.0,-55.6622400354,-133.358660684,-132.77261815
28.25,-52.8976250293,-133.088562104,-131.453556195
28.5,-50.1273279242,-132.884838451,-140.202908589
28.75,-47.4242814345,-132.244847007,-139.197150681
29.0,-44.7099843208,-131.65438909,-147.822363102
29.25,-42.1212131662,-130.647257877,-148.090894432
29.5,-39.5373900516,-129.627499334,-157.810340127
29.75,-37.1730794904,-128.169389274,-159.449875172
30.0,-34.8532787654,-126.641458001,-168.593722232
30.25,-32.8183162157,-124.750697097,-171.130646645
30.5,-30.872700197,-122.768116031,-175.841697055
30.75,-29.1038284885,-120.62635455,-178.401608575
31.0,-27.4365222405,-118.40461216,-179.449560087
31.25,-25.8118484055,-116.151506679,-180.796079288
31.5,-24.2428168368,-113.85930483,-179.075418975
31.75,-22.6028538127,-111.617303346,-180.331522048
32.0,-21.0145173716,-109.338435924,-177.043684213
32.25,-19.2928710585,-107.158531487,-178.437411037
32.5,-17.6270114151,-104.935704228,-173.580039704
32.75,-15.7715883751,-102.868470637,-176.279260993
33.0,-14.0198116927,-100.712704455,-170.679723504
33.25,-12.0580068507,-98.746141174,-173.768889836
33.5,-10.2096928683,-96.6725489294,-167.757817714
33.75,-8.14623016241,-94.8129330992,-171.360139726
34.0,-6.20890357752,-92.8222510355,-165.540957115
34.25,-4.07218239863,-91.0472941417,-168.945853567
34.5,-2.04936685791,-89.1435434583,-163.013898733
34.75,0.166623715312,-87.4686001296,-166.669100412
35.0,2.26649059605,-85.6501919077,-160.191428776
35.25,4.56548031449,-84.0911230659,-163.774775549
35.5,6.7580882059,-82.3856847016,-157.355170088
35.75,9.13438471993,-80.947190956,-160.582518913
36.0,11.4222302935,-79.3718141724,-153.688228154
36.25,13.8890830576,-78.0948306876,-157.087542366
36.5,16.2723510628,-76.6679168866,-150.483413902
36.75,18.8093840357,-75.5367612498,-153.262971447
37.0,21.2860365234,-74.2788893037,-147.117668121
37.25,23.887498844,-73.305008832,-150.712822976
37.5,26.4197916268,-72.1632809135,-145.380765322
37.75,29.0507069193,-71.2720266845,-148.68674872
38.0,31.6233308487,-70.2243361306,-144.753934137
38.25,34.264232621,-69.3631234936,-150.452272269
